code,name,EBITDA마진율(%),차입금의존도(%),차입금/EBITDA(TTM)(배),현금흐름(TTM)/차입금(%),금융비용(천원),자본총계(천원),이자발생부채(천원),C>=5,D<=50,E<=10,F>=10,G/H<=0.75,score,internal_rating,ag3_reason
00270,신일전자,0.04,16.18,2.74,27.53,1537613.05,80848415.3,20185696.52,0,1,1,1,1,1,AG2,
00271,TCC스틸,0.05,40.81,43.94,3.75,5352332.7,249194627.61,236619312.92,0,1,0,0,1,3,AG3,score
00272,국제약품,6.39,17.28,3.39,30.7,190247.46,98503801.36,30920071.45,1,1,1,1,1,0,AG2,
00276,보락,8.82,1.85,0.26,266.22,55784.53,48879756.14,1080988.49,1,1,1,1,1,0,AG2,
00278,진흥기업,6.51,2.95,-0.85,-143.07,285556,250349002.33,16567359.04,1,1,1,0,1,1,AG2,
00279,아모레퍼시픽홀딩스,16.78,3.99,0.53,143.5,6578341.79,7262868969.48,353156570.45,1,1,1,1,1,0,AG2,
00280,신신제약,13.92,28.87,2.44,35.17,357498.39,76900267.72,40846265,1,1,1,1,1,0,AG2,
00281,삼영무역,6.1,2.5,0.89,352.71,958524.9,675508575.05,20145054.72,1,1,1,1,1,0,AG2,
00282,SUN&L,-2.68,38.39,-15.17,1.23,4614578.54,218538659.73,179467054.15,0,1,1,0,1,2,AG2,
00284,미원상사,17.12,0.03,0,51173.49,1176610.22,417701847.04,130473.06,1,1,1,1,1,0,AG2,
00287,신풍,-5.06,0.83,-0.73,243.63,1134896.28,74474055.45,643098.9,0,1,1,1,1,1,AG2,
00288,디와이에이,5.17,32.68,3.24,7.38,2585595.87,50042905.94,139382691.93,1,1,1,0,1,1,AG2,
00290,TYM,13.7,20.65,2.07,28.05,6733949.75,445151906.46,188700035,1,1,1,1,1,0,AG2,
00292,유성기업,1.89,2.19,-0.83,-43.12,101867.68,300232828.79,9514786.23,0,1,1,0,1,2,AG2,
00296,한국쉘석유,18.71,2.16,0.08,1884.98,40339.55,110210645.82,4786623.85,1,1,1,1,1,0,AG2,
00299,금호건설,3.19,9.81,3.05,31.15,2788779.46,232841705.52,148772914.75,0,1,1,1,1,1,AG2,
00300,부광약품,2.31,17.18,4.09,22.44,1058449.43,333778572.97,80654482.61,0,1,1,1,1,1,AG2,
00301,혜인,5.34,17.68,2.05,29.02,1973148.23,128112091.22,44050384.5,1,1,1,1,1,0,AG2,
00303,세아제강지주,5.23,40.9,8.92,7.75,26024104.96,2815908500.9,2630901178,1,1,1,0,1,1,AG2,
00306,에이프로젠바이오로직스,-39.86,39.37,-5.8,-54.94,10237024.98,272847345.45,227154694.14,0,1,1,0,1,2,AG2,
00307,코오롱글로벌,5.26,31.07,18.03,-23.99,22700906.93,692550943.7,961532147,1,1,0,0,1,2,AG2,
00308,SB성보,17.26,16.72,-8.39,73.33,544161.56,155165459.92,37293131.8,1,1,1,1,1,0,AG2,
00309,대웅,13.82,27.83,2.7,37.26,7932180.78,1853064064.67,948452863.51,1,1,1,1,1,0,AG2,
00310,선광,41.46,32.29,3.07,33.83,1492832.94,441406905.02,228546014.74,1,1,1,1,1,0,AG2,
00312,일성아이에스,1.57,0.04,-0.06,3169.11,10217.13,378925266.98,139750.35,0,1,1,1,1,1,AG2,
00316,디아이,19.42,23.58,3.18,17.36,1910045.1,210777404.86,101483908.03,1,1,1,1,1,0,AG2,
00320,일신방직,6.55,5.92,2.04,62.23,4570532.73,948763139.2,66096194.53,1,1,1,1,1,0,AG2,
00322,대원제약,6.81,31.08,8.07,9.48,3244829.26,270975110.67,185208961.73,1,1,1,0,1,1,AG2,
00323,삼양식품,27.62,21.27,0.85,103.34,4770972.99,1405510771.18,507750788.19,1,1,1,1,1,0,AG2,
00324,태광산업,-0.79,0.15,-0.54,135.9,5241765.52,4034906189.09,6980733.73,0,1,1,1,1,1,AG2,
00328,흥아해운,21.68,31.85,3.59,38.45,2140547.35,274738805.69,151962046,1,1,1,1,1,0,AG2,
00330,한일홀딩스,10.03,29.32,4.13,18.1,8528904.93,2301496694.16,1078533016.21,1,1,1,1,1,0,AG2,
00331,대주산업,10.76,3.84,0.44,128.3,56238.48,112142954.26,5641809.95,1,1,1,1,1,0,AG2,
00335,한국화장품제조,17.77,29.97,1.69,85.26,665136.5,111164056.22,64313985,1,1,1,1,1,0,AG2,
00338,하림지주,7.27,52.78,5.76,13.5,194636000,6707265000,9460005000,1,0,1,1,1,1,AG2,
00346,유화증권,64.83,0,,,,530887416.28,,1,1,,,,,AG3,재무정보 미제공
00347,유안타증권,4.74,15.06,25.15,4.44,,1923912257,3351636896,0,1,0,0,,,AG3,재무정보 미제공
00348,한진중공업홀딩스,13.91,32.84,4.33,20.24,7392000,512428000,606989000,1,1,1,1,1,0,AG2,
00349,대한항공,18.94,44.94,5.67,16.71,232142809.88,11275175493.59,23957687592.89,1,1,1,1,1,0,AG2,
00352,영진약품,0.87,36.42,10.65,7.26,811615.58,88807138.29,85146337.83,0,1,0,0,1,3,AG3,score
00353,한화투자증권,2.19,21.54,20.61,3.67,,2039010000,4103580000,0,1,0,0,,,AG3,재무정보 미제공
00354,대신증권,4.95,40.15,43.2,1.74,,4038124667,15513118835,0,1,0,0,,,AG3,재무정보 미제공
00355,LG,26.74,1.59,0.69,166.49,13462000,31602789000,557670000,1,1,1,1,1,0,AG2,
00357,SNT다이내믹스,13.37,3.47,0.56,263.48,1768949.93,890229473.91,43472929,1,1,1,1,1,0,AG2,
00358,HLB글로벌,-6.06,22.98,-5.15,-8.65,559271.02,74319994.69,26604082.6,0,1,1,0,1,2,AG2,
00361,방림,-0.17,6.51,2.86,51.94,291939.15,181658309.2,16402670,0,1,1,1,1,1,AG2,
